timestamp;status;request_time;upstream_response_time
1519326954.566;200;0.025;0.025
1519326954.566;200;0.030;0.030
1519326954.581;200;0.035;0.035
1519326954.581;200;0.029;0.029
1519326954.626;200;0.034;0.034
1519326954.626;200;0.040;0.040
1519326954.646;200;0.044;0.044
1519326954.646;200;0.050;0.050
1519326954.676;200;0.040;0.040
1519326954.676;200;0.034;0.034
1519326954.696;200;0.043;0.043
1519326954.696;200;0.049;0.049
1519326954.726;200;0.040;0.040
1519326954.726;200;0.024;0.024
1519326954.726;200;0.034;0.034
1519326954.737;200;0.041;0.041
1519326954.780;200;0.043;0.043
1519326954.780;200;0.033;0.033
1519326954.780;200;0.038;0.038
1519326954.790;200;0.037;0.037
1519326954.821;200;0.034;0.034
1519326954.822;200;0.030;0.030
1519326954.841;200;0.039;0.039
1519326954.842;200;0.045;0.045
1519326954.872;200;0.035;0.035
1519326954.872;200;0.030;0.030
1519326954.892;200;0.045;0.045
1519326954.892;200;0.040;0.040
1519326954.922;200;0.035;0.035
1519326954.922;200;0.030;0.030
1519326954.942;200;0.045;0.045
1519326954.942;200;0.038;0.038
1519326954.965;200;0.028;0.028
1519326954.999;200;0.052;0.052
1519326954.999;200;0.057;0.057
1519326954.999;200;0.046;0.046
1519326955.021;200;0.035;0.035
1519326955.036;200;0.037;0.037
1519326955.037;200;0.035;0.035
1519326955.047;200;0.048;0.048
1519326955.073;200;0.031;0.031
1519326955.073;200;0.036;0.036
1519326955.077;200;0.030;0.030
1519326955.088;200;0.035;0.035
1519326955.118;200;0.031;0.031
1519326955.132;200;0.035;0.035
1519326955.133;200;0.041;0.041
1519326955.143;200;0.041;0.041
1519326955.173;200;0.026;0.026
1519326955.173;200;0.037;0.037
1519326955.173;200;0.031;0.031
1519326955.183;200;0.030;0.030
1519326955.237;200;0.040;0.040
1519326955.237;200;0.045;0.045
1519326955.238;200;0.052;0.052
1519326955.240;200;0.038;0.038
1519326955.270;200;0.032;0.032
1519326955.270;200;0.028;0.028
1519326955.290;200;0.044;0.044
