timestamp;status;request_time;upstream_response_time
1519327242.466;200;0.044;0.044
1519327242.467;200;0.038;0.038
1519327242.467;200;0.035;0.035
1519327242.477;200;0.040;0.040
1519327242.510;200;0.028;0.028
1519327242.510;200;0.037;0.037
1519327242.510;200;0.031;0.031
1519327242.520;200;0.031;0.031
1519327242.563;200;0.041;0.041
1519327242.563;200;0.032;0.032
1519327242.570;200;0.033;0.033
1519327242.573;200;0.040;0.040
1519327242.611;200;0.038;0.038
1519327242.611;200;0.031;0.031
1519327242.623;200;0.040;0.040
1519327242.654;200;0.031;0.031
1519327242.654;200;0.066;0.066
1519327242.672;200;0.043;0.043
1519327242.672;200;0.040;0.040
1519327242.693;200;0.037;0.037
1519327242.712;200;0.039;0.039
1519327242.713;200;0.031;0.031
1519327242.733;200;0.053;0.053
1519327242.733;200;0.039;0.039
1519327242.760;200;0.028;0.028
1519327242.760;200;0.037;0.037
1519327242.780;200;0.047;0.047
1519327242.780;200;0.043;0.043
1519327242.808;200;0.035;0.035
1519327242.808;200;0.028;0.028
1519327242.828;200;0.045;0.045
1519327242.828;200;0.039;0.039
1519327242.864;200;0.041;0.041
1519327242.874;200;0.045;0.045
1519327242.875;200;0.043;0.043
1519327242.875;200;0.037;0.037
1519327242.910;200;0.037;0.037
1519327242.921;200;0.033;0.033
1519327242.922;200;0.043;0.043
1519327242.924;200;0.042;0.042
1519327242.962;200;0.024;0.024
1519327242.962;200;0.033;0.033
1519327242.962;200;0.039;0.039
1519327242.972;200;0.039;0.039
1519327243.018;200;0.037;0.037
1519327243.018;200;0.045;0.045
1519327243.032;200;0.049;0.049
1519327243.032;200;0.044;0.044
1519327243.081;200;0.049;0.049
1519327243.082;200;0.053;0.053
1519327243.082;200;0.044;0.044
1519327243.082;200;0.059;0.059
1519327243.110;200;0.028;0.028
1519327243.110;200;0.028;0.028
1519327243.130;200;0.048;0.048
1519327243.130;200;0.041;0.041
1519327243.166;200;0.037;0.037
1519327243.166;200;0.029;0.029
1519327243.166;200;0.043;0.043
1519327243.177;200;0.044;0.044
1519327243.218;200;0.045;0.045
1519327243.218;200;0.039;0.039
1519327243.229;200;0.042;0.042
1519327243.229;200;0.047;0.047
1519327243.267;200;0.043;0.043
1519327243.287;200;0.055;0.055
1519327243.287;200;0.058;0.058
1519327243.287;200;0.049;0.049
1519327243.318;200;0.031;0.031
1519327243.318;200;0.031;0.031
1519327243.318;200;0.045;0.045
1519327243.328;200;0.041;0.041
1519327243.359;200;0.027;0.027
1519327243.359;200;0.036;0.036
1519327243.359;200;0.029;0.029
1519327243.369;200;0.032;0.032
1519327243.412;200;0.039;0.039
1519327243.412;200;0.033;0.033
1519327243.432;200;0.050;0.050
1519327243.432;200;0.043;0.043
1519327243.458;200;0.029;0.029
1519327243.458;200;0.035;0.035
1519327243.478;200;0.046;0.046
1519327243.478;200;0.041;0.041
1519327243.519;200;0.045;0.045
1519327243.539;200;0.059;0.059
1519327243.539;200;0.052;0.052
1519327243.539;200;0.056;0.056
1519327243.567;200;0.027;0.027
1519327243.567;200;0.044;0.044
1519327243.587;200;0.048;0.048
1519327243.587;200;0.048;0.048
1519327243.608;200;0.026;0.026
1519327243.623;200;0.050;0.050
1519327243.624;200;0.036;0.036
1519327243.634;200;0.047;0.047
1519327243.674;200;0.050;0.050
1519327243.684;200;0.046;0.046
1519327243.684;200;0.052;0.052
1519327243.685;200;0.051;0.051
1519327243.737;200;0.052;0.052
1519327243.737;200;0.063;0.063
1519327243.737;200;0.053;0.053
1519327243.737;200;0.049;0.049
1519327243.765;200;0.027;0.027
1519327243.765;200;0.027;0.027
1519327243.785;200;0.048;0.048
1519327243.785;200;0.047;0.047
1519327243.822;200;0.039;0.039
1519327243.822;200;0.048;0.048
1519327243.842;200;0.057;0.057
1519327243.842;200;0.054;0.054
1519327243.867;200;0.035;0.035
1519327243.869;200;0.046;0.046
1519327243.882;200;0.040;0.040
1519327243.883;200;0.041;0.041
1519327243.909;200;0.027;0.027
1519327243.910;200;0.037;0.037
1519327243.929;200;0.046;0.046
1519327243.929;200;0.041;0.041
1519327243.960;200;0.027;0.027
1519327243.960;200;0.037;0.037
1519327243.960;200;0.030;0.030
1519327243.970;200;0.032;0.032
1519327244.006;200;0.033;0.033
1519327244.006;200;0.026;0.026
1519327244.026;200;0.039;0.039
1519327244.026;200;0.044;0.044
1519327244.052;200;0.027;0.027
1519327244.053;200;0.024;0.024
1519327244.063;200;0.030;0.030
1519327244.074;200;0.036;0.036
1519327244.097;200;0.024;0.024
1519327244.101;200;0.022;0.022
1519327244.133;200;0.050;0.050
1519327244.133;200;0.045;0.045
1519327244.165;200;0.036;0.036
1519327244.165;200;0.042;0.042
1519327244.185;200;0.052;0.052
1519327244.185;200;0.048;0.048
1519327244.217;200;0.036;0.036
1519327244.217;200;0.044;0.044
1519327244.237;200;0.052;0.052
1519327244.237;200;0.049;0.049
1519327244.273;200;0.044;0.044
1519327244.273;200;0.050;0.050
1519327244.293;200;0.056;0.056
1519327244.294;200;0.057;0.057
1519327244.320;200;0.041;0.041
1519327244.320;200;0.046;0.046
1519327244.340;200;0.046;0.046
1519327244.340;200;0.046;0.046
1519327244.369;200;0.029;0.029
1519327244.369;200;0.040;0.040
1519327244.389;200;0.065;0.065
1519327244.389;200;0.048;0.048
1519327244.418;200;0.029;0.029
1519327244.418;200;0.039;0.039
1519327244.438;200;0.050;0.050
1519327244.438;200;0.048;0.048
1519327244.462;200;0.038;0.038
1519327244.462;200;0.033;0.033
1519327244.483;200;0.045;0.045
1519327244.483;200;0.045;0.045
1519327244.523;200;0.044;0.044
1519327244.543;200;0.070;0.070
1519327244.543;200;0.055;0.055
1519327244.543;200;0.060;0.060
1519327244.573;200;0.044;0.044
1519327244.573;200;0.030;0.030
1519327244.593;200;0.050;0.050
1519327244.593;200;0.050;0.050
1519327244.622;200;0.040;0.040
1519327244.622;200;0.029;0.029
1519327244.641;200;0.062;0.062
1519327244.641;200;0.048;0.048
1519327244.669;200;0.031;0.031
1519327244.669;200;0.028;0.028
1519327244.689;200;0.057;0.057
1519327244.689;200;0.048;0.048
1519327244.717;200;0.028;0.028
1519327244.717;200;0.038;0.038
1519327244.737;200;0.049;0.049
1519327244.737;200;0.048;0.048
1519327244.770;200;0.038;0.038
1519327244.770;200;0.033;0.033
1519327244.785;200;0.056;0.056
1519327244.785;200;0.048;0.048
1519327244.812;200;0.030;0.030
1519327244.832;200;0.045;0.045
1519327244.852;200;0.067;0.067
1519327244.852;200;0.067;0.067
1519327244.892;200;0.055;0.055
1519327244.902;200;0.049;0.049
1519327244.903;200;0.071;0.071
1519327244.903;200;0.050;0.050
1519327244.937;200;0.045;0.045
1519327244.937;200;0.034;0.034
1519327244.957;200;0.055;0.055
1519327244.957;200;0.054;0.054
1519327244.989;200;0.052;0.052
1519327244.989;200;0.051;0.051
1519327245.009;200;0.052;0.052
1519327245.010;200;0.053;0.053
1519327245.057;200;0.047;0.047
1519327245.057;200;0.068;0.068
1519327245.057;200;0.048;0.048
1519327245.057;200;0.068;0.068
1519327245.085;200;0.028;0.028
1519327245.085;200;0.028;0.028
1519327245.105;200;0.048;0.048
1519327245.105;200;0.048;0.048
1519327245.133;200;0.028;0.028
1519327245.133;200;0.048;0.048
1519327245.153;200;0.048;0.048
1519327245.153;200;0.068;0.068
1519327245.181;200;0.044;0.044
1519327245.181;200;0.048;0.048
1519327245.203;200;0.049;0.049
1519327245.204;200;0.050;0.050
1519327245.228;200;0.046;0.046
1519327245.228;200;0.040;0.040
1519327245.250;200;0.046;0.046
1519327245.250;200;0.046;0.046
1519327245.274;200;0.042;0.042
1519327245.274;200;0.036;0.036
1519327245.294;200;0.044;0.044
1519327245.294;200;0.044;0.044
1519327245.317;200;0.029;0.029
1519327245.355;200;0.061;0.061
1519327245.355;200;0.072;0.072
1519327245.355;200;0.060;0.060
1519327245.382;200;0.045;0.045
1519327245.410;200;0.053;0.053
1519327245.410;200;0.055;0.055
1519327245.410;200;0.055;0.055
1519327245.432;200;0.044;0.044
1519327245.472;200;0.061;0.061
1519327245.473;200;0.062;0.062
1519327245.474;200;0.063;0.063
1519327245.482;200;0.045;0.045
1519327245.502;200;0.029;0.029
1519327245.503;200;0.031;0.031
1519327245.523;200;0.035;0.035
1519327245.523;200;0.049;0.049
1519327245.554;200;0.051;0.051
1519327245.554;200;0.051;0.051
1519327245.566;200;0.028;0.028
