timestamp;status;request_time;upstream_response_time
1519325438.153;200;0.040;0.040
1519325438.153;200;0.030;0.030
1519325438.153;200;0.035;0.035
1519325438.165;200;0.036;0.036
1519325438.203;200;0.039;0.039
1519325438.203;200;0.029;0.029
1519325438.203;200;0.034;0.034
1519325438.223;200;0.043;0.043
1519325438.251;200;0.038;0.038
1519325438.261;200;0.042;0.042
1519325438.262;200;0.037;0.037
1519325438.271;200;0.042;0.042
1519325438.302;200;0.033;0.033
1519325438.303;200;0.029;0.029
1519325438.303;200;0.039;0.039
1519325438.325;200;0.045;0.045
1519325438.365;200;0.051;0.051
1519325438.365;200;0.046;0.046
1519325438.365;200;0.041;0.041
1519325438.369;200;0.039;0.039
1519325438.388;200;0.023;0.023
1519325438.403;200;0.029;0.029
1519325438.403;200;0.034;0.034
1519325438.424;200;0.044;0.044
1519325438.454;200;0.041;0.041
1519325438.455;200;0.037;0.037
1519325438.475;200;0.051;0.051
1519325438.475;200;0.046;0.046
1519325438.501;200;0.032;0.032
1519325438.501;200;0.037;0.037
1519325438.521;200;0.042;0.042
1519325438.521;200;0.046;0.046
1519325438.550;200;0.031;0.031
1519325438.550;200;0.037;0.037
1519325438.570;200;0.046;0.046
1519325438.570;200;0.041;0.041
1519325438.621;200;0.058;0.058
1519325438.621;200;0.047;0.047
1519325438.621;200;0.052;0.052
1519325438.622;200;0.042;0.042
1519325438.675;200;0.051;0.051
1519325438.675;200;0.053;0.053
1519325438.675;200;0.054;0.054
1519325438.685;200;0.055;0.055
1519325438.725;200;0.050;0.050
1519325438.725;200;0.050;0.050
1519325438.725;200;0.050;0.050
1519325438.735;200;0.050;0.050
1519325438.755;200;0.030;0.030
1519325438.755;200;0.030;0.030
1519325438.775;200;0.040;0.040
1519325438.776;200;0.050;0.050
1519325438.798;200;0.029;0.029
1519325438.836;200;0.060;0.060
1519325438.836;200;0.072;0.072
1519325438.836;200;0.057;0.057
1519325438.864;200;0.027;0.027
1519325438.865;200;0.029;0.029
1519325438.884;200;0.047;0.047
1519325438.885;200;0.067;0.067
1519325438.921;200;0.047;0.047
1519325438.931;200;0.046;0.046
1519325438.931;200;0.066;0.066
1519325438.931;200;0.046;0.046
1519325438.957;200;0.033;0.033
1519325438.997;200;0.066;0.066
1519325438.997;200;0.066;0.066
1519325438.997;200;0.066;0.066
1519325439.020;200;0.046;0.046
1519325439.033;200;0.036;0.036
1519325439.033;200;0.036;0.036
1519325439.043;200;0.046;0.046
1519325439.083;200;0.059;0.059
1519325439.083;200;0.050;0.050
1519325439.083;200;0.050;0.050
1519325439.083;200;0.040;0.040
1519325439.107;200;0.023;0.023
1519325439.162;200;0.078;0.078
1519325439.162;200;0.078;0.078
1519325439.162;200;0.078;0.078
1519325439.185;200;0.061;0.061
1519325439.198;200;0.036;0.036
1519325439.198;200;0.036;0.036
1519325439.208;200;0.046;0.046
1519325439.236;200;0.051;0.051
1519325439.236;200;0.037;0.037
1519325439.249;200;0.050;0.050
1519325439.265;200;0.056;0.056
1519325439.266;200;0.030;0.030
1519325439.275;200;0.039;0.039
1519325439.295;200;0.029;0.029
1519325439.296;200;0.047;0.047
1519325439.315;200;0.041;0.041
1519325439.316;200;0.041;0.041
1519325439.341;200;0.045;0.045
1519325439.341;200;0.045;0.045
1519325439.361;200;0.045;0.045
1519325439.361;200;0.037;0.037
1519325439.388;200;0.047;0.047
1519325439.411;200;0.070;0.070
1519325439.411;200;0.048;0.048
1519325439.419;200;0.045;0.045
1519325439.463;200;0.052;0.052
1519325439.467;200;0.079;0.079
1519325439.467;200;0.053;0.053
1519325439.473;200;0.049;0.049
1519325439.499;200;0.026;0.026
1519325439.499;200;0.032;0.032
1519325439.499;200;0.036;0.036
1519325439.509;200;0.042;0.042
1519325439.540;200;0.031;0.031
1519325439.540;200;0.041;0.041
1519325439.540;200;0.026;0.026
1519325439.565;200;0.040;0.040
1519325439.575;200;0.035;0.035
1519325439.577;200;0.037;0.037
1519325439.587;200;0.024;0.024
1519325439.605;200;0.026;0.026
1519325439.605;200;0.031;0.031
1519325439.606;200;0.029;0.029
1519325439.646;200;0.032;0.032
1519325439.647;200;0.028;0.028
1519325439.666;200;0.041;0.041
1519325439.667;200;0.037;0.037
1519325439.688;200;0.024;0.024
1519325439.707;200;0.032;0.032
1519325439.707;200;0.038;0.038
1519325439.717;200;0.037;0.037
1519325439.747;200;0.033;0.033
