timestamp;status;request_time;upstream_response_time
1519325257.775;200;0.024;0.024
1519325257.776;200;0.029;0.029
1519325257.776;200;0.035;0.035
1519325257.785;200;0.029;0.029
1519325257.840;200;0.042;0.042
1519325257.840;200;0.038;0.038
1519325257.840;200;0.048;0.048
1519325257.850;200;0.044;0.044
1519325257.869;200;0.027;0.027
1519325257.881;200;0.028;0.028
1519325257.881;200;0.034;0.034
1519325257.891;200;0.034;0.034
1519325257.924;200;0.027;0.027
1519325257.924;200;0.031;0.031
1519325257.948;200;0.042;0.042
1519325257.949;200;0.048;0.048
1519325257.986;200;0.044;0.044
1519325257.986;200;0.035;0.035
1519325257.986;200;0.039;0.039
1519325257.996;200;0.039;0.039
1519325258.026;200;0.025;0.025
1519325258.027;200;0.030;0.030
1519325258.026;200;0.034;0.034
1519325258.040;200;0.033;0.033
1519325258.071;200;0.029;0.029
1519325258.087;200;0.034;0.034
1519325258.087;200;0.040;0.040
1519325258.097;200;0.040;0.040
1519325258.127;200;0.025;0.025
1519325258.127;200;0.035;0.035
1519325258.127;200;0.030;0.030
1519325258.137;200;0.030;0.030
1519325258.187;200;0.045;0.045
1519325258.187;200;0.040;0.040
1519325258.188;200;0.036;0.036
1519325258.198;200;0.041;0.041
1519325258.233;200;0.040;0.040
1519325258.233;200;0.032;0.032
1519325258.242;200;0.045;0.045
1519325258.254;200;0.047;0.047
1519325258.273;200;0.025;0.025
1519325258.273;200;0.031;0.031
1519325258.286;200;0.035;0.035
1519325258.296;200;0.039;0.039
1519325258.333;200;0.041;0.041
1519325258.333;200;0.032;0.032
1519325258.333;200;0.036;0.036
1519325258.333;200;0.026;0.026
1519325258.374;200;0.031;0.031
1519325258.375;200;0.027;0.027
1519325258.394;200;0.043;0.043
1519325258.395;200;0.039;0.039
1519325258.433;200;0.041;0.041
1519325258.433;200;0.036;0.036
1519325258.457;200;0.050;0.050
1519325258.458;200;0.057;0.057
1519325258.485;200;0.043;0.043
1519325258.485;200;0.037;0.037
1519325258.501;200;0.044;0.044
1519325258.501;200;0.043;0.043
1519325258.547;200;0.054;0.054
1519325258.567;200;0.060;0.060
1519325258.567;200;0.070;0.070
1519325258.569;200;0.068;0.068
1519325258.599;200;0.052;0.052
1519325258.614;200;0.045;0.045
1519325258.615;200;0.047;0.047
1519325258.615;200;0.047;0.047
1519325258.642;200;0.042;0.042
1519325258.703;200;0.088;0.088
1519325258.703;200;0.088;0.088
1519325258.703;200;0.088;0.088
1519325258.713;200;0.071;0.071
1519325258.733;200;0.029;0.029
1519325258.733;200;0.030;0.030
1519325258.753;200;0.040;0.040
1519325258.753;200;0.049;0.049
1519325258.779;200;0.046;0.046
1519325258.820;200;0.067;0.067
1519325258.820;200;0.067;0.067
1519325258.821;200;0.088;0.088
1519325258.830;200;0.051;0.051
1519325258.870;200;0.050;0.050
1519325258.870;200;0.049;0.049
1519325258.870;200;0.040;0.040
1519325258.870;200;0.049;0.049
1519325258.894;200;0.023;0.023
1519325258.930;200;0.060;0.060
1519325258.930;200;0.059;0.059
1519325258.930;200;0.059;0.059
1519325258.955;200;0.061;0.061
1519325258.972;200;0.041;0.041
1519325258.972;200;0.041;0.041
1519325258.981;200;0.050;0.050
1519325258.995;200;0.039;0.039
1519325259.015;200;0.042;0.042
1519325259.016;200;0.044;0.044
1519325259.022;200;0.041;0.041
1519325259.039;200;0.044;0.044
1519325259.055;200;0.039;0.039
1519325259.055;200;0.039;0.039
1519325259.062;200;0.040;0.040
1519325259.102;200;0.062;0.062
1519325259.102;200;0.040;0.040
1519325259.102;200;0.046;0.046
1519325259.102;200;0.046;0.046
1519325259.125;200;0.023;0.023
1519325259.161;200;0.059;0.059
1519325259.161;200;0.059;0.059
1519325259.161;200;0.059;0.059
1519325259.187;200;0.045;0.045
1519325259.186;200;0.025;0.025
1519325259.207;200;0.046;0.046
1519325259.207;200;0.046;0.046
1519325259.234;200;0.042;0.042
1519325259.234;200;0.047;0.047
1519325259.254;200;0.047;0.047
1519325259.255;200;0.048;0.048
1519325259.290;200;0.048;0.048
1519325259.291;200;0.056;0.056
1519325259.291;200;0.036;0.036
1519325259.301;200;0.046;0.046
1519325259.321;200;0.029;0.029
1519325259.321;200;0.030;0.030
1519325259.341;200;0.044;0.044
1519325259.341;200;0.040;0.040
1519325259.362;200;0.041;0.041
1519325259.383;200;0.036;0.036
1519325259.383;200;0.042;0.042
1519325259.393;200;0.051;0.051
1519325259.413;200;0.030;0.030
1519325259.413;200;0.051;0.051
1519325259.423;200;0.029;0.029
1519325259.443;200;0.030;0.030
1519325259.443;200;0.046;0.046
1519325259.445;200;0.032;0.032
1519325259.481;200;0.039;0.039
1519325259.481;200;0.030;0.030
1519325259.482;200;0.024;0.024
1519325259.482;200;0.035;0.035
1519325259.516;200;0.024;0.024
1519325259.531;200;0.030;0.030
1519325259.531;200;0.034;0.034
1519325259.541;200;0.034;0.034
1519325259.581;200;0.039;0.039
1519325259.582;200;0.035;0.035
1519325259.582;200;0.031;0.031
1519325259.592;200;0.034;0.034
1519325259.625;200;0.033;0.033
1519325259.643;200;0.046;0.046
1519325259.643;200;0.035;0.035
1519325259.643;200;0.042;0.042
1519325259.683;200;0.036;0.036
1519325259.684;200;0.042;0.042
1519325259.703;200;0.052;0.052
1519325259.704;200;0.047;0.047
1519325259.729;200;0.037;0.037
1519325259.730;200;0.033;0.033
1519325259.749;200;0.042;0.042
1519325259.750;200;0.046;0.046
1519325259.791;200;0.049;0.049
1519325259.792;200;0.044;0.044
1519325259.801;200;0.044;0.044
1519325259.802;200;0.050;0.050
1519325259.830;200;0.028;0.028
1519325259.830;200;0.033;0.033
1519325259.831;200;0.039;0.039
1519325259.841;200;0.034;0.034
1519325259.877;200;0.035;0.035
1519325259.877;200;0.030;0.030
1519325259.877;200;0.026;0.026
1519325259.887;200;0.030;0.030
1519325259.950;200;0.053;0.053
1519325259.950;200;0.058;0.058
1519325259.951;200;0.050;0.050
1519325259.961;200;0.053;0.053
1519325260.001;200;0.051;0.051
1519325260.001;200;0.050;0.050
1519325260.001;200;0.050;0.050
1519325260.001;200;0.040;0.040
1519325260.026;200;0.025;0.025
1519325260.045;200;0.044;0.044
1519325260.045;200;0.043;0.043
1519325260.045;200;0.038;0.038
1519325260.074;200;0.029;0.029
1519325260.074;200;0.027;0.027
1519325260.094;200;0.041;0.041
1519325260.095;200;0.039;0.039
1519325260.122;200;0.024;0.024
1519325260.123;200;0.030;0.030
1519325260.143;200;0.042;0.042
1519325260.143;200;0.037;0.037
1519325260.181;200;0.039;0.039
1519325260.181;200;0.034;0.034
1519325260.181;200;0.030;0.030
1519325260.191;200;0.034;0.034
1519325260.241;200;0.048;0.048
1519325260.241;200;0.044;0.044
1519325260.241;200;0.040;0.040
1519325260.251;200;0.045;0.045
1519325260.265;200;0.023;0.023
1519325260.281;200;0.034;0.034
1519325260.281;200;0.030;0.030
1519325260.291;200;0.034;0.034
1519325260.322;200;0.028;0.028
1519325260.322;200;0.025;0.025
1519325260.332;200;0.031;0.031
1519325260.345;200;0.039;0.039
1519325260.380;200;0.038;0.038
1519325260.380;200;0.029;0.029
1519325260.380;200;0.033;0.033
1519325260.390;200;0.033;0.033
1519325260.431;200;0.030;0.030
1519325260.431;200;0.039;0.039
1519325260.432;200;0.035;0.035
1519325260.453;200;0.047;0.047
1519325260.469;200;0.027;0.027
1519325260.471;200;0.024;0.024
1519325260.494;200;0.037;0.037
1519325260.494;200;0.041;0.041
1519325260.521;200;0.029;0.029
1519325260.536;200;0.039;0.039
1519325260.536;200;0.029;0.029
1519325260.546;200;0.044;0.044
1519325260.575;200;0.033;0.033
1519325260.575;200;0.028;0.028
1519325260.591;200;0.040;0.040
1519325260.591;200;0.034;0.034
1519325260.640;200;0.048;0.048
1519325260.640;200;0.038;0.038
1519325260.640;200;0.043;0.043
1519325260.650;200;0.043;0.043
1519325260.680;200;0.033;0.033
1519325260.680;200;0.037;0.037
1519325260.700;200;0.043;0.043
1519325260.701;200;0.050;0.050
1519325260.726;200;0.034;0.034
1519325260.727;200;0.030;0.030
1519325260.747;200;0.040;0.040
1519325260.747;200;0.046;0.046
1519325260.789;200;0.047;0.047
1519325260.788;200;0.041;0.041
1519325260.809;200;0.052;0.052
1519325260.809;200;0.058;0.058
1519325260.838;200;0.046;0.046
1519325260.839;200;0.042;0.042
1519325260.858;200;0.049;0.049
1519325260.859;200;0.049;0.049
1519325260.886;200;0.044;0.044
1519325260.886;200;0.039;0.039
1519325260.906;200;0.047;0.047
1519325260.906;200;0.048;0.048
1519325260.910;503;0.003;0.003
1519325260.933;200;0.036;0.036
1519325260.933;200;0.026;0.026
1519325260.949;503;0.002;0.002
1519325260.949;200;0.057;0.057
1519325260.951;503;0.001;0.001
1519325260.955;503;0.002;0.002
1519325260.959;503;0.003;0.003
1519325261.021;200;0.029;0.029
1519325261.021;200;0.024;0.024
1519325261.041;200;0.039;0.039
1519325261.041;200;0.034;0.034
1519325261.091;200;0.049;0.049
1519325261.101;200;0.044;0.044
1519325261.102;200;0.055;0.055
1519325261.102;200;0.049;0.049
1519325261.127;200;0.025;0.025
1519325261.127;200;0.034;0.034
1519325261.147;200;0.044;0.044
1519325261.147;200;0.040;0.040
1519325261.174;200;0.032;0.032
1519325261.174;200;0.027;0.027
1519325261.194;200;0.042;0.042
1519325261.194;200;0.037;0.037
1519325261.218;200;0.025;0.025
1519325261.233;200;0.031;0.031
1519325261.233;200;0.036;0.036
1519325261.243;200;0.036;0.036
1519325261.294;200;0.052;0.052
1519325261.305;200;0.048;0.048
1519325261.305;200;0.058;0.058
1519325261.305;200;0.052;0.052
1519325261.348;200;0.054;0.054
1519325261.348;200;0.041;0.041
1519325261.351;200;0.046;0.046
1519325261.358;200;0.053;0.053
1519325261.378;200;0.030;0.030
1519325261.378;200;0.027;0.027
1519325261.398;200;0.040;0.040
1519325261.398;200;0.040;0.040
1519325261.426;200;0.034;0.034
1519325261.446;200;0.038;0.038
1519325261.446;200;0.045;0.045
1519325261.447;200;0.049;0.049
1519325261.468;200;0.026;0.026
1519325261.483;200;0.026;0.026
1519325261.483;200;0.036;0.036
1519325261.483;200;0.031;0.031
1519325261.524;200;0.032;0.032
1519325261.523;200;0.026;0.026
1519325261.542;200;0.036;0.036
1519325261.542;200;0.040;0.040
1519325261.579;200;0.037;0.037
1519325261.591;200;0.043;0.043
1519325261.591;200;0.039;0.039
1519325261.597;200;0.040;0.040
1519325261.632;200;0.040;0.040
1519325261.632;200;0.029;0.029
1519325261.632;200;0.035;0.035
1519325261.634;200;0.027;0.027
1519325261.680;200;0.038;0.038
1519325261.680;200;0.033;0.033
1519325261.680;200;0.029;0.029
1519325261.690;200;0.032;0.032
1519325261.731;200;0.039;0.039
1519325261.731;200;0.029;0.029
1519325261.731;200;0.024;0.024
1519325261.731;200;0.033;0.033
1519325261.787;200;0.045;0.045
1519325261.787;200;0.040;0.040
1519325261.787;200;0.035;0.035
1519325261.797;200;0.040;0.040
1519325261.827;200;0.026;0.026
1519325261.828;200;0.035;0.035
1519325261.828;200;0.031;0.031
1519325261.838;200;0.031;0.031
1519325261.887;200;0.034;0.034
1519325261.887;200;0.045;0.045
1519325261.887;200;0.040;0.040
1519325261.890;200;0.033;0.033
1519325261.930;200;0.023;0.023
1519325261.930;200;0.038;0.038
1519325261.930;200;0.032;0.032
1519325261.941;200;0.039;0.039
1519325261.974;200;0.032;0.032
1519325261.974;200;0.027;0.027
1519325261.994;200;0.043;0.043
1519325261.994;200;0.038;0.038
1519325262.023;200;0.030;0.030
1519325262.023;200;0.026;0.026
1519325262.039;200;0.038;0.038
1519325262.043;200;0.035;0.035
1519325262.069;200;0.027;0.027
1519325262.072;200;0.025;0.025
1519325262.115;200;0.058;0.058
1519325262.116;200;0.063;0.063
1519325262.125;200;0.033;0.033
1519325262.146;200;0.049;0.049
1519325262.146;200;0.030;0.030
1519325262.156;200;0.040;0.040
1519325262.176;200;0.034;0.034
1519325262.176;200;0.029;0.029
1519325262.196;200;0.045;0.045
1519325262.196;200;0.039;0.039
1519325262.222;200;0.030;0.030
1519325262.222;200;0.025;0.025
1519325262.232;200;0.031;0.031
1519325262.243;200;0.037;0.037
1519325262.274;200;0.032;0.032
1519325262.274;200;0.027;0.027
1519325262.294;200;0.037;0.037
1519325262.294;200;0.043;0.043
1519325262.324;200;0.032;0.032
1519325262.325;200;0.028;0.028
1519325262.345;200;0.039;0.039
1519325262.345;200;0.043;0.043
1519325262.374;200;0.032;0.032
1519325262.374;200;0.027;0.027
1519325262.394;200;0.037;0.037
1519325262.394;200;0.042;0.042
1519325262.415;200;0.023;0.023
1519325262.434;200;0.037;0.037
1519325262.434;200;0.032;0.032
1519325262.445;200;0.038;0.038
1519325262.471;200;0.029;0.029
1519325262.471;200;0.024;0.024
1519325262.490;200;0.039;0.039
1519325262.490;200;0.033;0.033
1519325262.522;200;0.030;0.030
1519325262.523;200;0.026;0.026
1519325262.542;200;0.035;0.035
1519325262.542;200;0.041;0.041
1519325262.583;200;0.041;0.041
1519325262.583;200;0.036;0.036
1519325262.584;200;0.032;0.032
1519325262.593;200;0.036;0.036
1519325262.623;200;0.026;0.026
1519325262.624;200;0.032;0.032
1519325262.625;200;0.024;0.024
1519325262.650;200;0.042;0.042
1519325262.670;200;0.028;0.028
1519325262.670;200;0.023;0.023
1519325262.690;200;0.039;0.039
1519325262.690;200;0.033;0.033
1519325262.717;200;0.025;0.025
1519325262.737;200;0.040;0.040
1519325262.737;200;0.035;0.035
1519325262.747;200;0.040;0.040
1519325262.787;200;0.036;0.036
1519325262.787;200;0.044;0.044
1519325262.788;200;0.041;0.041
1519325262.788;200;0.031;0.031
1519325262.819;200;0.027;0.027
1519325262.833;200;0.032;0.032
1519325262.833;200;0.036;0.036
1519325262.842;200;0.035;0.035
1519325262.878;200;0.035;0.035
1519325262.878;200;0.031;0.031
1519325262.878;200;0.027;0.027
1519325262.888;200;0.031;0.031
1519325262.930;200;0.033;0.033
1519325262.930;200;0.029;0.029
1519325262.931;200;0.039;0.039
1519325262.951;200;0.044;0.044
1519325262.977;200;0.035;0.035
1519325262.987;200;0.040;0.040
1519325262.987;200;0.036;0.036
1519325263.015;200;0.057;0.057
1519325263.043;200;0.050;0.050
1519325263.044;200;0.047;0.047
1519325263.056;200;0.055;0.055
1519325263.057;200;0.042;0.042
1519325263.078;200;0.031;0.031
1519325263.117;200;0.073;0.073
1519325263.117;200;0.060;0.060
1519325263.117;200;0.060;0.060
1519325263.161;200;0.044;0.044
1519325263.161;200;0.044;0.044
1519325263.161;200;0.063;0.063
1519325263.171;200;0.054;0.054
1519325263.211;200;0.050;0.050
1519325263.211;200;0.050;0.050
1519325263.211;200;0.050;0.050
1519325263.221;200;0.049;0.049
