timestamp;status;request_time;upstream_response_time
1519327099.068;200;0.023;0.023
1519327099.104;200;0.045;0.045
1519327099.104;200;0.049;0.049
1519327099.104;200;0.055;0.055
1519327099.132;200;0.028;0.028
1519327099.132;200;0.037;0.037
1519327099.152;200;0.042;0.042
1519327099.152;200;0.047;0.047
1519327099.176;200;0.025;0.025
1519327099.176;200;0.031;0.031
1519327099.194;200;0.035;0.035
1519327099.194;200;0.038;0.038
1519327099.225;200;0.027;0.027
1519327099.225;200;0.025;0.025
1519327099.245;200;0.040;0.040
1519327099.246;200;0.037;0.037
1519327099.284;200;0.039;0.039
1519327099.294;200;0.044;0.044
1519327099.294;200;0.034;0.034
1519327099.294;200;0.039;0.039
1519327099.319;200;0.024;0.024
1519327099.339;200;0.039;0.039
1519327099.339;200;0.029;0.029
1519327099.340;200;0.035;0.035
1519327099.374;200;0.028;0.028
1519327099.384;200;0.034;0.034
1519327099.384;200;0.029;0.029
1519327099.394;200;0.035;0.035
1519327099.424;200;0.029;0.029
1519327099.443;200;0.043;0.043
1519327099.443;200;0.038;0.038
1519327099.453;200;0.043;0.043
1519327099.483;200;0.028;0.028
1519327099.483;200;0.038;0.038
1519327099.483;200;0.033;0.033
1519327099.493;200;0.034;0.034
1519327099.533;200;0.024;0.024
1519327099.533;200;0.032;0.032
1519327099.534;200;0.039;0.039
1519327099.545;200;0.040;0.040
1519327099.569;200;0.024;0.024
1519327099.584;200;0.028;0.028
1519327099.584;200;0.023;0.023
1519327099.584;200;0.034;0.034
1519327099.623;200;0.028;0.028
1519327099.643;200;0.038;0.038
1519327099.643;200;0.043;0.043
1519327099.644;200;0.034;0.034
1519327099.680;200;0.035;0.035
1519327099.680;200;0.029;0.029
1519327099.700;200;0.045;0.045
1519327099.700;200;0.041;0.041
1519327099.730;200;0.030;0.030
1519327099.731;200;0.036;0.036
1519327099.740;200;0.030;0.030
1519327099.741;200;0.035;0.035
1519327099.785;200;0.040;0.040
1519327099.785;200;0.034;0.034
1519327099.785;200;0.030;0.030
1519327099.795;200;0.034;0.034
1519327099.836;200;0.041;0.041
1519327099.837;200;0.037;0.037
1519327099.857;200;0.047;0.047
1519327099.857;200;0.051;0.051
1519327099.883;200;0.032;0.032
1519327099.923;200;0.079;0.079
1519327099.923;200;0.066;0.066
1519327099.924;200;0.065;0.065
1519327099.946;200;0.046;0.046
1519327099.980;200;0.056;0.056
1519327099.980;200;0.057;0.057
1519327099.980;200;0.057;0.057
1519327100.025;200;0.075;0.075
1519327100.026;200;0.046;0.046
1519327100.026;200;0.046;0.046
1519327100.037;200;0.057;0.057
1519327100.072;200;0.046;0.046
1519327100.072;200;0.046;0.046
1519327100.072;200;0.035;0.035
1519327100.072;200;0.046;0.046
1519327100.119;200;0.046;0.046
1519327100.119;200;0.047;0.047
1519327100.121;200;0.048;0.048
1519327100.129;200;0.056;0.056
1519327100.149;200;0.028;0.028
1519327100.150;200;0.029;0.029
1519327100.150;200;0.029;0.029
1519327100.160;200;0.030;0.030
1519327100.181;200;0.026;0.026
1519327100.181;200;0.031;0.031
1519327100.200;200;0.041;0.041
1519327100.200;200;0.040;0.040
1519327100.223;200;0.023;0.023
1519327100.224;200;0.029;0.029
1519327100.233;200;0.028;0.028
1519327100.244;200;0.035;0.035
1519327100.293;200;0.048;0.048
1519327100.293;200;0.043;0.043
1519327100.293;200;0.037;0.037
1519327100.303;200;0.043;0.043
1519327100.335;200;0.030;0.030
1519327100.335;200;0.040;0.040
1519327100.335;200;0.034;0.034
1519327100.345;200;0.036;0.036
1519327100.376;200;0.031;0.031
1519327100.377;200;0.027;0.027
1519327100.396;200;0.041;0.041
1519327100.396;200;0.035;0.035
1519327100.420;200;0.025;0.025
1519327100.439;200;0.039;0.039
1519327100.439;200;0.034;0.034
1519327100.449;200;0.039;0.039
1519327100.469;200;0.024;0.024
1519327100.501;200;0.051;0.051
1519327100.502;200;0.042;0.042
1519327100.502;200;0.047;0.047
1519327100.548;200;0.053;0.053
1519327100.568;200;0.066;0.066
1519327100.568;200;0.058;0.058
1519327100.568;200;0.063;0.063
1519327100.606;200;0.058;0.058
1519327100.606;200;0.037;0.037
1519327100.607;200;0.039;0.039
1519327100.607;200;0.039;0.039
1519327100.637;200;0.030;0.030
1519327100.637;200;0.027;0.027
1519327100.654;200;0.048;0.048
1519327100.654;200;0.048;0.048
1519327100.684;200;0.030;0.030
1519327100.684;200;0.034;0.034
1519327100.704;200;0.044;0.044
1519327100.704;200;0.049;0.049
1519327100.731;200;0.031;0.031
1519327100.731;200;0.036;0.036
1519327100.751;200;0.046;0.046
1519327100.751;200;0.041;0.041
1519327100.790;200;0.040;0.040
1519327100.800;200;0.055;0.055
1519327100.800;200;0.040;0.040
1519327100.801;200;0.046;0.046
1519327100.849;200;0.049;0.049
1519327100.849;200;0.039;0.039
1519327100.849;200;0.049;0.049
1519327100.859;200;0.054;0.054
1519327100.879;200;0.029;0.029
1519327100.879;200;0.030;0.030
1519327100.899;200;0.040;0.040
1519327100.899;200;0.040;0.040
1519327100.925;200;0.025;0.025
1519327100.925;200;0.030;0.030
1519327100.945;200;0.039;0.039
1519327100.945;200;0.035;0.035
1519327100.978;200;0.034;0.034
1519327100.979;200;0.029;0.029
1519327100.998;200;0.038;0.038
1519327100.999;200;0.044;0.044
1519327101.027;200;0.032;0.032
1519327101.027;200;0.027;0.027
1519327101.047;200;0.037;0.037
1519327101.047;200;0.042;0.042
1519327101.081;200;0.036;0.036
1519327101.081;200;0.031;0.031
1519327101.082;200;0.027;0.027
1519327101.093;200;0.033;0.033
1519327101.132;200;0.038;0.038
1519327101.132;200;0.026;0.026
1519327101.132;200;0.033;0.033
1519327101.142;200;0.032;0.032
1519327101.181;200;0.031;0.031
1519327101.181;200;0.036;0.036
1519327101.184;200;0.028;0.028
1519327101.194;200;0.035;0.035
1519327101.219;200;0.024;0.024
1519327101.233;200;0.028;0.028
